,city_fixed,address_fixed,full_2,full_3
6,Дніпро Школа №100,Дніпро пл. Успенська 1, Дніпропетровська область  м. Дніпро  Соборний район міста  пл. Успенська  1, м. Дніпро  Соборний район міста  пл. Успенська  1
7,Дніпро Школа №2,Дніпро вул. Савченка 1, Дніпропетровська область  м. Дніпро  Центральний район міста  вул. Савченка  1, м. Дніпро  Центральний район міста  вул. Савченка  1
48,Івано-Франківськ Школа №3,Івано-Франківськ 14 , Івано-Франківська область  м. Івано-Франківськ  вул. Франка  14 , м. Івано-Франківськ  вул. Франка  14 
53,Запоріжжя Школа №1,Запоріжжя 16 , Запорізька область  м. Запоріжжя  вул. Котельникова  16 , м. Запоріжжя  вул. Котельникова  16 
57,Запоріжжя Школа №29,Запоріжжя вул. Академіка Александрова 7, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Академіка Александрова  7, м. Запоріжжя  Дніпровський район міста  вул. Академіка Александрова  7
58,Запоріжжя Школа №1,Запоріжжя вул. Шкільна 11, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Шкільна  11, м. Запоріжжя  Олександрівський район міста  вул. Шкільна  11
71,Дніпро Школа №80,Дніпро вул. Комбрига Петрова 31, Дніпропетровська область  м. Дніпро  Шевченківський район міста  вул. Комбрига Петрова  31, м. Дніпро  Шевченківський район міста  вул. Комбрига Петрова  31
72,Запоріжжя Школа №5,Запоріжжя вул. Тургенєва 33, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Тургенєва  33, м. Запоріжжя  Олександрівський район міста  вул. Тургенєва  33
83,Запоріжжя Школа №11,Запоріжжя вул. Поштова 4, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Поштова  4, м. Запоріжжя  Олександрівський район міста  вул. Поштова  4
97,Запоріжжя Школа №7,Запоріжжя 1А , Запорізька область  м. Запоріжжя  вул. Ленська  1А , м. Запоріжжя  вул. Ленська  1А 
101,Запоріжжя Школа №2,Запоріжжя вул. І. Сікорського 267, Запорізька область  м. Запоріжжя  Шевченківський район міста  вул. І. Сікорського  267, м. Запоріжжя  Шевченківський район міста  вул. І. Сікорського  267
170,Запоріжжя Школа №76,Запоріжжя просп. Соборний 154-Г, Запорізька область  м. Запоріжжя  Олександрівський район міста  просп. Соборний  154-Г, м. Запоріжжя  Олександрівський район міста  просп. Соборний  154-Г
185,Запоріжжя Школа №3,Запоріжжя вул. Шкільна 11, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Шкільна  11, м. Запоріжжя  Олександрівський район міста  вул. Шкільна  11
284,Запоріжжя Школа №15,Запоріжжя вул. Фортечна 68, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Фортечна  68, м. Запоріжжя  Олександрівський район міста  вул. Фортечна  68
431,Запоріжжя Школа №2,Запоріжжя вул. Шкільна 36, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Шкільна  36, м. Запоріжжя  Олександрівський район міста  вул. Шкільна  36
432,Запоріжжя Школа №98,Запоріжжя вул. Запорізька 1-а, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Запорізька  1-а, м. Запоріжжя  Олександрівський район міста  вул. Запорізька  1-а
433,Запоріжжя Школа №105,Запоріжжя вул. Запорізька 13А, Запорізька область  м. Запоріжжя  Олександрівський район міста  вул. Запорізька  13А, м. Запоріжжя  Олександрівський район міста  вул. Запорізька  13А
434,Запоріжжя Школа №20,Запоріжжя б-р Шевченка , Запорізька область  м. Запоріжжя  Вознесенівський район міста  б-р Шевченка , м. Запоріжжя  Вознесенівський район міста  б-р Шевченка 
435,Запоріжжя Школа №25,Запоріжжя вул. Патріотична 76, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Патріотична  76, м. Запоріжжя  Вознесенівський район міста  вул. Патріотична  76
436,Запоріжжя Школа №27,Запоріжжя б-р Центральний 15а, Запорізька область  м. Запоріжжя  Вознесенівський район міста  б-р Центральний  15а, м. Запоріжжя  Вознесенівський район міста  б-р Центральний  15а
437,Запоріжжя Школа №28,Запоріжжя вул. Лермонтова 16, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Лермонтова  16, м. Запоріжжя  Вознесенівський район міста  вул. Лермонтова  16
438,Запоріжжя Школа №37,Запоріжжя вул. Кронштадтська 17, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Кронштадтська  17, м. Запоріжжя  Вознесенівський район міста  вул. Кронштадтська  17
439,Запоріжжя Школа №39,Запоріжжя вул. О.Матросова 16, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. О.Матросова  16, м. Запоріжжя  Вознесенівський район міста  вул. О.Матросова  16
440,Запоріжжя Школа №41,Запоріжжя вул. Миру 6, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Миру  6, м. Запоріжжя  Вознесенівський район міста  вул. Миру  6
441,Запоріжжя Школа №58,Запоріжжя вул. Поточна 7, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Поточна  7, м. Запоріжжя  Вознесенівський район міста  вул. Поточна  7
442,Запоріжжя Школа №71,Запоріжжя вул. Маяковського 8, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Маяковського  8, м. Запоріжжя  Вознесенівський район міста  вул. Маяковського  8
443,Запоріжжя Школа №72,Запоріжжя вул. Лермонтова 21, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Лермонтова  21, м. Запоріжжя  Вознесенівський район міста  вул. Лермонтова  21
445,Запоріжжя Школа №78,Запоріжжя б-р Центральний 12-А, Запорізька область  м. Запоріжжя  Вознесенівський район міста  б-р Центральний  12-А, м. Запоріжжя  Вознесенівський район міста  б-р Центральний  12-А
447,Запоріжжя Школа №94,Запоріжжя вул. Яценка 3-а, Запорізька область  м. Запоріжжя  Вознесенівський район міста  вул. Яценка  3-а, м. Запоріжжя  Вознесенівський район міста  вул. Яценка  3-а
448,Запоріжжя Школа №13,Запоріжжя вул. Селищна 50, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Селищна  50, м. Запоріжжя  Заводський район міста  вул. Селищна  50
449,Запоріжжя Школа №85,Запоріжжя пров. Економічний 5, Запорізька область  м. Запоріжжя  Заводський район міста  пров. Економічний  5, м. Запоріжжя  Заводський район міста  пров. Економічний  5
450,Запоріжжя Школа №67,Запоріжжя вул. Радіаторна 26, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Радіаторна  26, м. Запоріжжя  Заводський район міста  вул. Радіаторна  26
451,Запоріжжя Школа №33,Запоріжжя вул. Ніжинська 40, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Ніжинська  40, м. Запоріжжя  Заводський район міста  вул. Ніжинська  40
452,Запоріжжя Школа №36,Запоріжжя вул. Билкіна 12, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Билкіна  12, м. Запоріжжя  Заводський район міста  вул. Билкіна  12
453,Запоріжжя Школа №54,Запоріжжя вул. Соснова 24, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Соснова  24, м. Запоріжжя  Заводський район міста  вул. Соснова  24
454,Запоріжжя Школа №75,Запоріжжя вул. Історична 92, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Історична  92, м. Запоріжжя  Заводський район міста  вул. Історична  92
455,Запоріжжя Школа №47,Запоріжжя 9 , Запорізька область  м. Запоріжжя  вул. Павлокічкаська  9 , м. Запоріжжя  вул. Павлокічкаська  9 
456,Запоріжжя Школа №46,Запоріжжя 29 , Запорізька область  м. Запоріжжя  вул. Павлокічкаська  29 , м. Запоріжжя  вул. Павлокічкаська  29 
457,Запоріжжя Школа №21,Запоріжжя вул. Машинна 117, Запорізька область  м. Запоріжжя  Заводський район міста  вул. Машинна  117, м. Запоріжжя  Заводський район міста  вул. Машинна  117
458,Запоріжжя Школа №45,Запоріжжя просп. Ювілейний 30 - А, Запорізька область  м. Запоріжжя  Хортицький район міста  просп. Ювілейний  30 - А, м. Запоріжжя  Хортицький район міста  просп. Ювілейний  30 - А
459,Запоріжжя Школа №108,Запоріжжя 1 , Запорізька область  м. Запоріжжя  вул. Дорошенка  1 , м. Запоріжжя  вул. Дорошенка  1 
460,Запоріжжя Школа №24,Запоріжжя 12-А , Запорізька область  м. Запоріжжя  вул. Василя Сергієнка  12-А , м. Запоріжжя  вул. Василя Сергієнка  12-А 
461,Запоріжжя Школа №32,Запоріжжя вул. Чотирнадцятого Жовтня 13, Запорізька область  м. Запоріжжя  Хортицький район міста  вул. Чотирнадцятого Жовтня  13, м. Запоріжжя  Хортицький район міста  вул. Чотирнадцятого Жовтня  13
462,Запоріжжя Школа №40,Запоріжжя вул. Героїв 93-ї бригади 18-А, Запорізька область  м. Запоріжжя  Хортицький район міста  вул. Героїв 93-ї бригади  18-А, м. Запоріжжя  Хортицький район міста  вул. Героїв 93-ї бригади  18-А
463,Запоріжжя Школа №49,Запоріжжя вул. Cвітла 16-А, Запорізька область  м. Запоріжжя  Хортицький район міста  вул. Cвітла  16-А, м. Запоріжжя  Хортицький район міста  вул. Cвітла  16-А
464,Запоріжжя Школа №51,Запоріжжя вул. Воронезька 4, Запорізька область  м. Запоріжжя  Хортицький район міста  вул. Воронезька  4, м. Запоріжжя  Хортицький район міста  вул. Воронезька  4
465,Запоріжжя Школа №91,Запоріжжя вул. Лахтінська 6-а, Запорізька область  м. Запоріжжя  Хортицький район міста  вул. Лахтінська  6-а, м. Запоріжжя  Хортицький район міста  вул. Лахтінська  6-а
466,Запоріжжя Школа №92,Запоріжжя вул. Лахтінська 9, Запорізька область  м. Запоріжжя  Хортицький район міста  вул. Лахтінська  9, м. Запоріжжя  Хортицький район міста  вул. Лахтінська  9
467,Запоріжжя Школа №99,Запоріжжя вул. Героїв 93-ї бригади 13А, Запорізька область  м. Запоріжжя  Хортицький район міста  вул. Героїв 93-ї бригади  13А, м. Запоріжжя  Хортицький район міста  вул. Героїв 93-ї бригади  13А
469,Запоріжжя Школа №6,Запоріжжя 2 , Запорізька область  м. Запоріжжя  вул. Олімпійська  2 , м. Запоріжжя  вул. Олімпійська  2 
470,Запоріжжя Школа №77,Запоріжжя вул. Памірська 91, Запорізька область  м. Запоріжжя  Шевченківський район міста  вул. Памірська  91, м. Запоріжжя  Шевченківський район міста  вул. Памірська  91
471,Запоріжжя Школа №8,Запоріжжя 14а , Запорізька область  м. Запоріжжя  вул. Європейська  14а , м. Запоріжжя  вул. Європейська  14а 
472,Запоріжжя Школа №14,Запоріжжя 90 , Запорізька область  м. Запоріжжя  вул. Святоволодимирівська  90 , м. Запоріжжя  вул. Святоволодимирівська  90 
473,Запоріжжя Школа №17,Запоріжжя 20 , Запорізька область  м. Запоріжжя  вул. .Освітянська  20 , м. Запоріжжя  вул. .Освітянська  20 
474,Запоріжжя Школа №23,Запоріжжя 6-а , Запорізька область  м. Запоріжжя  вул. Парамонова  6-а , м. Запоріжжя  вул. Парамонова  6-а 
475,Запоріжжя Школа №38,Запоріжжя 7-а , Запорізька область  м. Запоріжжя  вул. Парамонова  7-а , м. Запоріжжя  вул. Парамонова  7-а 
476,Запоріжжя Школа №70,Запоріжжя 1 , Запорізька область  м. Запоріжжя  вул. Снайперська  1 , м. Запоріжжя  вул. Снайперська  1 
477,Запоріжжя Школа №80,Запоріжжя 5а , Запорізька область  м. Запоріжжя  вул. Магара  5а , м. Запоріжжя  вул. Магара  5а 
478,Запоріжжя Школа №83,Запоріжжя 2 , Запорізька область  м. Запоріжжя  вул. Барикадна  2 , м. Запоріжжя  вул. Барикадна  2 
479,Запоріжжя Школа №84,Запоріжжя 16-А , Запорізька область  м. Запоріжжя  вул. Північнокільцева  16-А , м. Запоріжжя  вул. Північнокільцева  16-А 
480,Запоріжжя Школа №88,Запоріжжя 2 , Запорізька область  м. Запоріжжя  вул. Музична  2 , м. Запоріжжя  вул. Музична  2 
481,Запоріжжя Школа №90,Запоріжжя 13-б , Запорізька область  м. Запоріжжя  вул. Чумаченка  13-б , м. Запоріжжя  вул. Чумаченка  13-б 
482,Запоріжжя Школа №97,Запоріжжя 27 , Запорізька область  м. Запоріжжя  просп. 40-річчя Перемоги  27 , м. Запоріжжя  просп. 40-річчя Перемоги  27 
483,Запоріжжя Школа №103,Запоріжжя 18-а , Запорізька область  м. Запоріжжя  вул. Новокузнецька  18-а , м. Запоріжжя  вул. Новокузнецька  18-а 
484,Запоріжжя Школа №107,Запоріжжя просп. 40-річчя Перемоги 59, Запорізька область  м. Запоріжжя  Комунарський район міста  просп. 40-річчя Перемоги  59, м. Запоріжжя  Комунарський район міста  просп. 40-річчя Перемоги  59
485,Запоріжжя Школа №110,Запоріжжя 19 , Запорізька область  м. Запоріжжя  вул. Стешенка  19 , м. Запоріжжя  вул. Стешенка  19 
486,Запоріжжя Школа №34,Запоріжжя вул. Богдана Завади 8, Запорізька область  м. Запоріжжя  Шевченківський район міста  вул. Богдана Завади  8, м. Запоріжжя  Шевченківський район міста  вул. Богдана Завади  8
487,Запоріжжя Школа №101,Запоріжжя вул. Бочарова 10б, Запорізька область  м. Запоріжжя  Шевченківський район міста  вул. Бочарова  10б, м. Запоріжжя  Шевченківський район міста  вул. Бочарова  10б
488,Запоріжжя Школа №111,Запоріжжя вул. Центральна 8-А, Запорізька область  м. Запоріжжя  Шевченківський район міста  вул. Центральна  8-А, м. Запоріжжя  Шевченківський район міста  вул. Центральна  8-А
489,Запоріжжя Школа №63,Запоріжжя вул. Пархоменка 12-А, Запорізька область  м. Запоріжжя  Шевченківський район міста  вул. Пархоменка  12-А, м. Запоріжжя  Шевченківський район міста  вул. Пархоменка  12-А
490,Запоріжжя Школа №7,Запоріжжя 21 , Запорізька область  м. Запоріжжя  вул. Північнокільцева  21 , м. Запоріжжя  вул. Північнокільцева  21 
491,Запоріжжя Школа №4,Запоріжжя вул. Волзька 30, Запорізька область  м. Запоріжжя  Шевченківський район міста  вул. Волзька  30, м. Запоріжжя  Шевченківський район міста  вул. Волзька  30
492,Запоріжжя Школа №52,Запоріжжя 241в , Запорізька область  м. Запоріжжя  вул. Шевченка  241в , м. Запоріжжя  вул. Шевченка  241в 
493,Запоріжжя Школа №68,Запоріжжя вул. Харчова 35, Запорізька область  м. Запоріжжя  Шевченківський район міста  вул. Харчова  35, м. Запоріжжя  Шевченківський район міста  вул. Харчова  35
494,Запоріжжя Школа №12,Запоріжжя 60 , Запорізька область  м. Запоріжжя  просп. Моторобудівників  60 , м. Запоріжжя  просп. Моторобудівників  60 
495,Запоріжжя Школа №42,Запоріжжя 277а , Запорізька область  м. Запоріжжя  вул. Шевченка  277а , м. Запоріжжя  вул. Шевченка  277а 
496,Запоріжжя Школа №55,Запоріжжя вул. Передатна 17А, Запорізька область  м. Запоріжжя  Шевченківський район міста  вул. Передатна  17А, м. Запоріжжя  Шевченківський район міста  вул. Передатна  17А
497,Запоріжжя Школа №60,Запоріжжя 27 , Запорізька область  м. Запоріжжя  вул. Героїв 55 Бригади  27 , м. Запоріжжя  вул. Героїв 55 Бригади  27 
498,Запоріжжя Школа №64,Запоріжжя 36 , Запорізька область  м. Запоріжжя  вул. Молочна  36 , м. Запоріжжя  вул. Молочна  36 
499,Запоріжжя Школа №65,Запоріжжя просп. Моторобудівників 26, Запорізька область  м. Запоріжжя  Шевченківський район міста  просп. Моторобудівників  26, м. Запоріжжя  Шевченківський район міста  просп. Моторобудівників  26
500,Запоріжжя Школа №95,Запоріжжя вул. Богдана Завади 16, Запорізька область  м. Запоріжжя  Шевченківський район міста  вул. Богдана Завади  16, м. Запоріжжя  Шевченківський район міста  вул. Богдана Завади  16
501,Запоріжжя Школа №93,Запоріжжя 9 , Запорізька область  м. Запоріжжя  вул. Полякова  9 , м. Запоріжжя  вул. Полякова  9 
502,Запоріжжя Школа №19,Запоріжжя вул. Військбуд 13, Запорізька область  м. Запоріжжя  Шевченківський район міста  вул. Військбуд  13, м. Запоріжжя  Шевченківський район міста  вул. Військбуд  13
503,Запоріжжя Школа №18,Запоріжжя вул. Вороніхіна 8а, Запорізька область  м. Запоріжжя  Шевченківський район міста  вул. Вороніхіна  8а, м. Запоріжжя  Шевченківський район міста  вул. Вороніхіна  8а
506,Запоріжжя Школа №22,Запоріжжя вул. Трегубова 18, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Трегубова  18, м. Запоріжжя  Дніпровський район міста  вул. Трегубова  18
508,Запоріжжя Школа №30,Запоріжжя вул. Парковий бульвар 4, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Парковий бульвар  4, м. Запоріжжя  Дніпровський район міста  вул. Парковий бульвар  4
509,Запоріжжя Школа №31,Запоріжжя вул. Добролюбова 4, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Добролюбова  4, м. Запоріжжя  Дніпровський район міста  вул. Добролюбова  4
510,Запоріжжя Школа №50,Запоріжжя 22 , Запорізька область  м. Запоріжжя  вул. Богдана Хмельницького  22 , м. Запоріжжя  вул. Богдана Хмельницького  22 
511,Запоріжжя Школа №59,Запоріжжя вул. Сергія Синенка 10, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Сергія Синенка  10, м. Запоріжжя  Дніпровський район міста  вул. Сергія Синенка  10
512,Запоріжжя Школа №61,Запоріжжя 15 , Запорізька область  м. Запоріжжя  вул. Братська  15 , м. Запоріжжя  вул. Братська  15 
513,Запоріжжя Школа №62,Запоріжжя вул. Незалежної України 9, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Незалежної України  9, м. Запоріжжя  Дніпровський район міста  вул. Незалежної України  9
514,Запоріжжя Школа №66,Запоріжжя вул. Рекордна 1, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Рекордна  1, м. Запоріжжя  Дніпровський район міста  вул. Рекордна  1
515,Запоріжжя Школа №69,Запоріжжя вул. Ладозька 2, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Ладозька  2, м. Запоріжжя  Дніпровський район міста  вул. Ладозька  2
516,Запоріжжя Школа №73,Запоріжжя вул. Дудикіна 16, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Дудикіна  16, м. Запоріжжя  Дніпровський район міста  вул. Дудикіна  16
517,Запоріжжя Школа №81,Запоріжжя 18 , Запорізька область  м. Запоріжжя  вул. Істоміна  18 , м. Запоріжжя  вул. Істоміна  18 
518,Запоріжжя Школа №82,Запоріжжя вул. Істоміна 16, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Істоміна  16, м. Запоріжжя  Дніпровський район міста  вул. Істоміна  16
519,Запоріжжя Школа №86,Запоріжжя 5-Б , Запорізька область  м. Запоріжжя  вул. Дегтярьова  5-Б , м. Запоріжжя  вул. Дегтярьова  5-Б 
520,Запоріжжя Школа №87,Запоріжжя вул. Хакаська 3-Б, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Хакаська  3-Б, м. Запоріжжя  Дніпровський район міста  вул. Хакаська  3-Б
521,Запоріжжя Школа №89,Запоріжжя вул. Михайлова 15, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Михайлова  15, м. Запоріжжя  Дніпровський район міста  вул. Михайлова  15
523,Запоріжжя Школа №100,Запоріжжя вул. Ладозька 2а, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. Ладозька  2а, м. Запоріжжя  Дніпровський район міста  вул. Ладозька  2а
524,Запоріжжя Школа №104,Запоріжжя вул. С. Синенка 65в, Запорізька область  м. Запоріжжя  Дніпровський район міста  вул. С. Синенка  65в, м. Запоріжжя  Дніпровський район міста  вул. С. Синенка  65в
525,Запоріжжя Школа №109,Запоріжжя 29 , Запорізька область  м. Запоріжжя  вул. Дніпровські пороги  29 , м. Запоріжжя  вул. Дніпровські пороги  29 
536,Запоріжжя Школа №106,Запоріжжя вул. Рубана 9, Запорізька область  м. Запоріжжя  Хортицький район міста  вул. Рубана  9, м. Запоріжжя  Хортицький район міста  вул. Рубана  9
716,Дніпро Школа №139,Дніпро вул. Березинська 4, Дніпропетровська область  м. Дніпро  Індустріальний район міста  вул. Березинська  4, м. Дніпро  Індустріальний район міста  вул. Березинська  4
728,Дніпро Школа №7,Дніпро вул. Тверська 18, Дніпропетровська область  м. Дніпро  Індустріальний район міста  вул. Тверська  18, м. Дніпро  Індустріальний район міста  вул. Тверська  18
729,Дніпро Школа №17,Дніпро 1 , Дніпропетровська область  м. Дніпро  вул. Смоленська  1 , м. Дніпро  вул. Смоленська  1 
730,Дніпро Школа №29,Дніпро вул. Батумська 64, Дніпропетровська область  м. Дніпро  Індустріальний район міста  вул. Батумська  64, м. Дніпро  Індустріальний район міста  вул. Батумська  64
731,Дніпро Школа №14,Дніпро вул. Батумська 20-а, Дніпропетровська область  м. Дніпро  Індустріальний район міста  вул. Батумська  20-а, м. Дніпро  Індустріальний район міста  вул. Батумська  20-а
733,Дніпро Школа №118,Дніпро вул. Богдана Хмельницького 15, Дніпропетровська область  м. Дніпро  Індустріальний район міста  вул. Богдана Хмельницького  15, м. Дніпро  Індустріальний район міста  вул. Богдана Хмельницького  15
734,Дніпро Школа №138,Дніпро вул. Березинська 29, Дніпропетровська область  м. Дніпро  Індустріальний район міста  вул. Березинська  29, м. Дніпро  Індустріальний район міста  вул. Березинська  29
735,Дніпро Школа №69,Дніпро вул. Софії Ковалевської 86-А, Дніпропетровська область  м. Дніпро  Індустріальний район міста  вул. Софії Ковалевської  86-А, м. Дніпро  Індустріальний район міста  вул. Софії Ковалевської  86-А
737,Дніпро Школа №63,Дніпро 71-а , Дніпропетровська область  м. Дніпро  вул. Янтарна  71-а , м. Дніпро  вул. Янтарна  71-а 
740,Дніпро Школа №147,Дніпро 51-А , Дніпропетровська область  м. Дніпро  просп. Миру  51-А , м. Дніпро  просп. Миру  51-А 
741,Дніпро Школа №3,Дніпро вул. Гулі Корольової 14-Б, Дніпропетровська область  м. Дніпро  Індустріальний район міста  вул. Гулі Корольової  14-Б, м. Дніпро  Індустріальний район міста  вул. Гулі Корольової  14-Б
742,Дніпро Школа №47,Дніпро вул. Воронезська 67, Дніпропетровська область  м. Дніпро  Індустріальний район міста  вул. Воронезська  67, м. Дніпро  Індустріальний район міста  вул. Воронезська  67
746,Дніпро Школа №135,Дніпро вул. Березинська 31, Дніпропетровська область  м. Дніпро  Індустріальний район міста  вул. Березинська  31, м. Дніпро  Індустріальний район міста  вул. Березинська  31
747,Дніпро Школа №45,Дніпро 88 А , Дніпропетровська область  м. Дніпро  вул. С.Ковалевської  88 А , м. Дніпро  вул. С.Ковалевської  88 А 
748,Дніпро ДНЗ №41,Дніпро вул. Софії Ковалевської 71-А, Дніпропетровська область  м. Дніпро  Індустріальний район міста  вул. Софії Ковалевської  71-А, м. Дніпро  Індустріальний район міста  вул. Софії Ковалевської  71-А
752,Дніпро Школа №121,Дніпро вул. Гулі Корольової 14-г, Дніпропетровська область  м. Дніпро  Індустріальний район міста  вул. Гулі Корольової  14-г, м. Дніпро  Індустріальний район міста  вул. Гулі Корольової  14-г
756,Дніпро ДНЗ №108,Дніпро 16 , Дніпропетровська область  м. Дніпро  вул. Березинська  16 , м. Дніпро  вул. Березинська  16 
792,Дніпро ДНЗ №37,Дніпро просп. Богдана Хмельницького 8-г, Дніпропетровська область  м. Дніпро  Центральний район міста  просп. Богдана Хмельницького  8-г, м. Дніпро  Центральний район міста  просп. Богдана Хмельницького  8-г
807,Дніпро Школа №94,Дніпро вул. Велика Діївська 463, Дніпропетровська область  м. Дніпро  Новокодацький район міста  вул. Велика Діївська  463, м. Дніпро  Новокодацький район міста  вул. Велика Діївська  463
809,Дніпро ДНЗ №87,Дніпро вул. Мальовнича 55, Дніпропетровська область  м. Дніпро  Самарський район міста  вул. Мальовнича  55, м. Дніпро  Самарський район міста  вул. Мальовнича  55
811,Дніпро Школа №1,Дніпро вул. Солідарності 4, Дніпропетровська область  м. Дніпро  Новокодацький район міста  вул. Солідарності  4, м. Дніпро  Новокодацький район міста  вул. Солідарності  4
812,Дніпро Школа №5,Дніпро вул. Караваєва 17-а, Дніпропетровська область  м. Дніпро  Новокодацький район міста  вул. Караваєва  17-а, м. Дніпро  Новокодацький район міста  вул. Караваєва  17-а
825,Дніпро ДНЗ №36,Дніпро просп. Сергія Нігояна 57, Дніпропетровська область  м. Дніпро  Новокодацький район міста  просп. Сергія Нігояна  57, м. Дніпро  Новокодацький район міста  просп. Сергія Нігояна  57
829,Дніпро Школа №132,Дніпро пров. Парусний 14, Дніпропетровська область  м. Дніпро  Новокодацький район міста  пров. Парусний  14, м. Дніпро  Новокодацький район міста  пров. Парусний  14
831,Дніпро Школа №88,Дніпро просп. Свободи 218, Дніпропетровська область  м. Дніпро  Новокодацький район міста  просп. Свободи  218, м. Дніпро  Новокодацький район міста  просп. Свободи  218
844,Дніпро Школа №84,Дніпро вул. Юрія Кондратюка 264, Дніпропетровська область  м. Дніпро  Новокодацький район міста  вул. Юрія Кондратюка  264, м. Дніпро  Новокодацький район міста  вул. Юрія Кондратюка  264
891,Дніпро Школа №97,Дніпро вул. Велика Діївська 42, Дніпропетровська область  м. Дніпро  Новокодацький район міста  вул. Велика Діївська  42, м. Дніпро  Новокодацький район міста  вул. Велика Діївська  42
952,Дніпро Школа №1,Дніпро вул. Привокзальна 15, Дніпропетровська область  м. Дніпро  Центральний район міста  вул. Привокзальна  15, м. Дніпро  Центральний район міста  вул. Привокзальна  15
982,Дніпро Школа №58,Дніпро вул. Василя Чапленка 1, Дніпропетровська область  м. Дніпро  Центральний район міста  вул. Василя Чапленка  1, м. Дніпро  Центральний район міста  вул. Василя Чапленка  1
985,Дніпро Школа №75,Дніпро вул. Гавриленка 8-а, Дніпропетровська область  м. Дніпро  Центральний район міста  вул. Гавриленка  8-а, м. Дніпро  Центральний район міста  вул. Гавриленка  8-а
1021,Дніпро Школа №13,Дніпро вул. Драгоманова 50, Дніпропетровська область  м. Дніпро  Центральний район міста  вул. Драгоманова  50, м. Дніпро  Центральний район міста  вул. Драгоманова  50
1062,Дніпро ДНЗ №148,Дніпро 13 , Дніпропетровська область  м. Дніпро  вул. Володимира Антоновича  13 , м. Дніпро  вул. Володимира Антоновича  13 
1075,Дніпро Школа №128,Дніпро 4 , Дніпропетровська область  м. Дніпро  вул. Гавриленка  4 , м. Дніпро  вул. Гавриленка  4 
1103,Дніпро Школа №9,Дніпро вул. Мостова 3, Дніпропетровська область  м. Дніпро  Центральний район міста  вул. Мостова  3, м. Дніпро  Центральний район міста  вул. Мостова  3
1106,Дніпро Школа №93,Дніпро вул. ДАНИЛА ГАЛИЦЬКОГО 54, Дніпропетровська область  м. Дніпро  Новокодацький район міста  вул. ДАНИЛА ГАЛИЦЬКОГО  54, м. Дніпро  Новокодацький район міста  вул. ДАНИЛА ГАЛИЦЬКОГО  54
1132,Дніпро Школа №16,Дніпро просп. Богдана Хмельницького 14-б, Дніпропетровська область  м. Дніпро  Центральний район міста  просп. Богдана Хмельницького  14-б, м. Дніпро  Центральний район міста  просп. Богдана Хмельницького  14-б
1181,Дніпро Школа №28,Дніпро вул. В. Дубініна 12, Дніпропетровська область  м. Дніпро  Соборний район міста  вул. В. Дубініна  12, м. Дніпро  Соборний район міста  вул. В. Дубініна  12
1185,Дніпро Школа №22,Дніпро вул. Нахімова 57, Дніпропетровська область  м. Дніпро  Центральний район міста  вул. Нахімова  57, м. Дніпро  Центральний район міста  вул. Нахімова  57
1215,Дніпро ДНЗ №136,Дніпро вул. Космонавтів 10, Дніпропетровська область  м. Дніпро  Самарський район міста  вул. Космонавтів  10, м. Дніпро  Самарський район міста  вул. Космонавтів  10
1254,Дніпро Школа №54,Дніпро пров. Парусний 3, Дніпропетровська область  м. Дніпро  Новокодацький район міста  пров. Парусний  3, м. Дніпро  Новокодацький район міста  пров. Парусний  3
