,city_fixed,address_fixed,full_2,full_3
24209,Київ ДНЗ №519,Київ вул. Курчатова 8-А  ,м.Київ Деснянський вул. Курчатова  8-А  ,Деснянський вул. Курчатова  8-А  
24210,Київ ДНЗ №528,Київ вул. Мілютенка 23-б  ,м.Київ Деснянський вул. Мілютенка  23-б  ,Деснянський вул. Мілютенка  23-б  
24211,Київ ДНЗ №534,Київ вул. Кубанської України 24-Б  ,м.Київ Деснянський вул. Кубанської України  24-Б  ,Деснянський вул. Кубанської України  24-Б  
24212,Київ ДНЗ №555,Київ вул. Кубанської України 33 а  ,м.Київ Деснянський вул. Кубанської України  33 а  ,Деснянський вул. Кубанської України  33 а  
24213,Київ ДНЗ №569,Київ вул. Матеюка 15-а  ,м.Київ Деснянський вул. Матеюка  15-а  ,Деснянський вул. Матеюка  15-а  
24214,Київ ДНЗ №597,Київ вул. Шолом-Алейхема 4а  ,м.Київ Деснянський вул. Шолом-Алейхема  4а  ,Деснянський вул. Шолом-Алейхема  4а  
24215,Київ ДНЗ №690,Київ вул. Миколи Закревського 31-А  ,м.Київ Деснянський вул. Миколи Закревського  31-А  ,Деснянський вул. Миколи Закревського  31-А  
24216,Київ ДНЗ №721,Київ вул. Милославська 23А  ,м.Київ Деснянський вул. Милославська  23А  ,Деснянський вул. Милославська  23А  
24217,Київ ДНЗ №742,Київ вул. Беретті 5-Б  ,м.Київ Деснянський вул. Беретті  5-Б  ,Деснянський вул. Беретті  5-Б  
24218,Київ ДНЗ №743,Київ вул. Сержа Лифаря 5А  ,м.Київ Деснянський вул. Сержа Лифаря  5А  ,Деснянський вул. Сержа Лифаря  5А  
24219,Київ ДНЗ №744,Київ вул. Закревського 19-Б  ,м.Київ Деснянський вул. Закревського  19-Б  ,Деснянський вул. Закревського  19-Б  
24220,Київ ДНЗ №745,Київ пр-т Маяковського 18 б  ,м.Київ Деснянський пр-т Маяковського  18 б  ,Деснянський пр-т Маяковського  18 б  
24221,Київ ДНЗ №753,Київ вул. Закревського Миколи 37-А  ,м.Київ Деснянський вул. Закревського Миколи  37-А  ,Деснянський вул. Закревського Миколи  37-А  
24222,Київ ДНЗ №755,Київ вул. Сержа Лифаря 19А  ,м.Київ Деснянський вул. Сержа Лифаря  19А  ,Деснянський вул. Сержа Лифаря  19А  
24223,Київ ДНЗ №757,Київ вул. Миколи Закревського 49 - б - ,м.Київ Деснянський вул. Миколи Закревського  49 - б  -,Деснянський вул. Миколи Закревського  49 - б  -
24224,Київ ДНЗ №758,Київ пр-т Володимира Маяковського 10-А - ,м.Київ Деснянський пр-т Володимира Маяковського  10-А  -,Деснянський пр-т Володимира Маяковського  10-А  -
24225,Київ ДНЗ №767,Київ вул. Закревського 9 - а  ,м.Київ Деснянський вул. Закревського  9 - а  ,Деснянський вул. Закревського  9 - а  
24226,Київ ДНЗ №768,Київ вул. Ніколаєва 5-а  ,м.Київ Деснянський вул. Ніколаєва  5-а  ,Деснянський вул. Ніколаєва  5-а  
24227,Київ ДНЗ №769,Київ пр-т Маяковського 19  ,м.Київ Деснянський пр-т Маяковського  19  ,Деснянський пр-т Маяковського  19  
